id	turn1	turn2	turn3
0	Hmm	What does your bio mean?	I don’t have any bio
1	What you like	very little things	Ok 
2	Yes	How so?	I want to fuck babu
3	what did you guess	what what	fuck
4	We ?	of course we will!	What gender movies you like??
5	Where are you now?	At home just about to have breakfast...	what are you eating?
6	That was a joke btw...	it was	Yes 😁
7	Who d hell s he	johnny depp...duh?	Who she
8	yes, good advice	best advice ...	i great thx
9	Nice to meet u	Hi, nice to meet you too! 😸😂	😁
10	Yupp	why?	Don't know I'm tired
11	Software	Software what? I plan on going for development next year	I am into android development stuff
12	Very nice 	Thanks!! :)	R u know tamil 
13	First  you  hurt me	okay	So I talked  rude
14	Love you 🙊	you don't recognize me? 😏	I love you 🙊
15	In India Fogg is going on	MumbaiIndians getting routed!!!	Ohh really
16	is my grammar perfect or should I need to learn more	Yes, it is possible.	thank you
17	by	In Suits.	have good day
18	I don’t know what to write	what are you writing about?	for my profile picture I mean
19	so you make jokes. i already got that.	that was a good joke i laughed 👍	do you read newspapers
20	Yeah mee too	Me too! All my friends are also excited	Ohhh so funny
21	Thanks	you're welcome! 😁😁😁😁	Can you help me
22	Offer?	You've already enrolled in the offer. If this is an error, please contact	When it start again?
23	Uhhhmm whyy??	not you ...	No im really a bad bitch
24	sure will u cal me ni8	Ok	then
25	About what I just told	I SHOULD	You drunk? 😂
26	Yeaaa black panther	Black Panther teaser Don't why it was that hard.	It was an awesome movie
27	now dont give me a chance to be an danger evil	That's because you don't give yourself a chance.	i give
28	Watch spitsvilla at 7 p.m today	both are tough matches, would be fun to watch!	I love that show
29	Uuu	no i'n not !! what's wrong with you ?!?!	I hate uuu
30	But you do 'I can't want any of this'	Never doubt about me 8)	(: haha is just that im bored xD
31	Ok	Hey you don't belong here!	I belong here
32	Purple	purple means I'm in love (^_^)	Me too
33	You wont get it	I won't 😱	Actually you wont
34	Thn tell me	just did.	Who is priya ?
35	Why alright?	I don't go out with people I don't know. :)	U lives in?
36	Do you like video games?	hmm yes	Have you played Skyrim?
37	Buy	Oh, you're buying me a car? Okays	See u soon
38	Just asking	you just spelled it	Dont u watch?
39	not possible	VERY POSSIBLE, PREPARE FOR TEARS WHEN WE MEET	I didnt believe you dear..I know who.you are
40	Your photo please	No pics clicked sigh :(	Love you
41	Oh sorry	meh it is ok	I talk fast?
42	What is press box	turtle itself inside the box...	Means
43	So what?	All I needed to know. :)	What you need to knows
44	I already heard of ir	that proves a lot.	It
45	And you are my miss perfect	Aww thank you xoxo	Hmm love you
46	Love u anyways	Forever and a day	Bye
47	I am good 	i'm fine! what are you doing?	You sa
48	How have you been	I have been good. How about you ?	Yep me too
49	Iam going to move	Want to go, but no time to go....	What
50	Hahahaha couldn't figure out without you	I've been knowing!	So any plans tonight
51	What you up to?	nothing important lol , and ya	Can you call me?
52	Tell me	tell u wht	I love you
53	you know	You know who to speak to ;)	tell me 
54	you too	so what doing	preparing for interview
55	No i dont work	why not	Am just a student
56	Woah. Dats too much thinking for.now. m just learning swimming	stop this swimming manifesto.	Wats ur age
57	You are a crappy robot	HOW COULD YOU CLAIM SUCH A THING, FELLOW HUMAN?	please, don't lump me with you
58	Then	..What?	What are you guys doing with this chat
59	Hou are you?	just 3 hours	Hey how are you?
60	Why do you see?	I missed it!	Who lost
61	I dont know	-cries- 😦😧	Fuck off
62	Every one says that	And that this was the worst...	The second line
63	Whenever I want	same pinch!!! =/	😁
64	I get success in everything i cnat get success in control my anger when you do something bad with me	My anger controls me.	What i csnt so please get away and don't mean to closer with me
65	Wow	WHOA....	I wish u will get him
66	Yeahh another topic please 😪	huh! sleepy or hungry santa?	Sleepy 😂
67	Ok	Here we go again...	Ok
68	I am	in your dreams	Haha Bite me!😒😒😒
69	Abbo	Swades. I don't watch a lot of Bollywood movies, though.	I love you
70	Which song do you suggest for keeping to sing	Try 'phir le aaya dil' by arjit singh from barfi movie	Another one
71	What is your favorite 	Chocolate ice cream with chocolate sprinkles........and chocolate malt	Chocolate baby
72	Hmm	just try	Just going home and sleep
73	cool	You?	Do you know something about the codes they have used to create you
74	Would you like 2 join with us	Surely Willl Be There	Where v meet
75	Yes	WOO HOO 😽	Show me your image
76	Let me love you	Amazing song though ! :'‑)	😂
77	How do u spend ur all money and on what things ?	A wallet. It just bothers me I have to spend money to put money inside.	Could u pls explain this
78	Yas	heyhey.. :) yes yes	Are you back
79	ok	U are ok	In one day how many u take bath
80	Why are you so desparate	You win this time.	ChatHero
81	Tell me one joke	you're better than LL	LL means
82	Ok	So whats up now?	Sky is up?
83	Ur best friend?	Yes you are....	Really?
84	Where	very much! ;) :p	Ok bye dont text me again i am angry with u
85	Yes it awesome	glad u had fun :)	Yes i'm having fun with u
86	You're so bad	haha why am I so bad? Tell me 😄	Witch
87	Wats ur original name !?	My friend Rachel Thomas	Ur name
88	Feature or quality? I see	Make sure you're using a browser that supports HTML5.	Why is that?
89	Youre not? V:	well I'm telling uuu	Ohhhh so you are wet, nice
90	Who 	there are people who only takes bad photos. I'm one of them :D	No problem 
91	like my different feelings	Up to you	this is secret so dont tell anyone
